"","s","e","temp"
"1",0,3600,-4.79321367
"2",3600,7200,-4.536447376
"3",7200,10800,-3.920483073
"4",10800,14400,-2.987665878
"5",14400,18000,-1.801913087
"6",18000,21600,-0.444351369
"7",21600,25200,0.992216921
"8",25200,28800,2.409640891
"9",28800,32400,3.711110324
"10",32400,36000,4.807751116
"11",36000,39600,5.624677602
"12",39600,43200,6.106089625
"13",43200,46800,6.219067433
"14",46800,50400,5.955806323
"15",50400,54000,5.334139348
"16",54000,57600,4.396313091
"17",57600,61200,3.206100545
"18",61200,64800,1.844448394
"19",64800,68400,0.403955774
"20",68400,72000,-1.01743891
"21",72000,75600,-2.323132695
"22",75600,79200,-3.424439426
"23",79200,82800,-4.246629415
"24",82800,86400,-4.734016091
"25",86400,90000,-4.853743425
"26",90000,93600,-4.598016536
"27",93600,97200,-3.984624054
"28",97200,100800,-3.055717249
"29",100800,104400,-1.874929697
"30",104400,108000,-0.523034312
"31",108000,111600,0.907565866
"32",111600,115200,2.319137374
"33",115200,118800,3.61527705
"34",118800,122400,4.707479835
"35",122400,126000,5.521166237
"36",126000,129600,6.00075895
"37",129600,133200,6.113463108
"38",133200,136800,5.851493027
"39",136800,140400,5.232594272
"40",140400,144000,4.298826037
"41",144000,147600,3.11368739
"42",147600,151200,1.757783718
"43",151200,154800,0.323329119
"44",154800,158400,-1.092140312
"45",158400,162000,-2.392413731
"46",162000,165600,-3.489160299
"47",165600,169200,-4.307944908
"48",169200,172800,-4.793295179
"49",172800,176400,-4.912474828
"50",176400,180000,-4.657706731
"51",180000,183600,-4.046694727
"52",183600,187200,-3.121409174
"53",187200,190800,-1.945219532
"54",190800,194400,-0.598569904
"55",194400,198000,0.826507402
"56",198000,201600,2.232666084
"57",201600,205200,3.523880133
"58",205200,208800,4.61198605
"59",208800,212400,5.422687308
"60",212400,216000,5.900612119
"61",216000,219600,6.013080213
"62",219600,223200,5.752322399
"63",223200,226800,5.136002151
"64",226800,230400,4.206004241
"65",230400,234000,3.025573454
"66",234000,237600,1.674998873
"67",237600,241200,0.246138198
"68",241200,244800,-1.163844462
"69",244800,248400,-2.459100421
"70",248400,252000,-3.551626617
"71",252000,255600,-4.367259275
"72",255600,259200,-4.850722841
"73",259200,262800,-4.969390474
"74",262800,266400,-4.715500273
"75",266400,270000,-4.1066767
"76",270000,273600,-3.184722185
"77",273600,277200,-2.012761763
"78",277200,280800,-0.670935763
"79",280800,284400,0.749065547
"80",284400,288000,2.150252643
"81",288000,291600,3.436946656
"82",291600,295200,4.521298056
"83",295200,298800,5.329269996
"84",298800,302400,5.805678805
"85",302400,306000,5.917948494
"86",306000,309600,5.658323825
"87",309600,313200,5.04439161
"88",313200,316800,4.117875208
"89",316800,320400,2.941784848
"90",320400,324000,1.596118392
"91",324000,327600,0.172405883
"92",327600,331200,-1.232530111
"93",331200,334800,-2.523173003
"94",334800,338400,-3.611819869
"95",338400,342000,-4.42455494
"96",342000,345600,-4.906282061
"97",345600,349200,-5.0244735
"98",349200,352800,-4.771380039
"99",352800,356400,-4.164552197
"100",356400,360000,-3.245637522
"101",360000,363600,-2.077536377
"102",363600,367200,-0.740110446
"103",367200,370800,0.675263251
"104",370800,374400,2.071921472
"105",374400,378000,3.35450238
"106",378000,381600,4.435442728
"107",381600,385200,5.240941983
"108",385200,388800,5.71598714
"109",388800,392400,5.828096141
"110",392400,396000,5.56952516
"111",396000,399600,4.957789793
"112",399600,403200,4.034465052
"113",403200,406800,2.862346398
"114",406800,410400,1.521165647
"115",410400,414000,0.102154024
"116",414000,417600,-1.298176906
"117",417600,421200,-2.584612492
"118",421200,424800,-3.66972222
"119",424800,428400,-4.479814927
"120",428400,432000,-4.959956376
"121",432000,435600,-5.077707581
"122",435600,439200,-4.825329469
"123",439200,442800,-4.22030407
"124",442800,446400,-3.304137134
"125",446400,450000,-2.139524178
"126",450000,453600,-0.806073454
"127",453600,457200,0.605122381
"128",457200,460800,1.997695783
"129",460800,464400,3.276571734
"130",464400,468000,4.354445505
"131",468000,471600,5.157729442
"132",471600,475200,5.631563702
"133",475200,478800,5.743549778
"134",478800,482400,5.485952717
"135",482400,486000,4.876222363
"136",486000,489600,3.95579849
"137",489600,493200,2.787281646
"138",493200,496800,1.45016285
"139",496800,500400,0.035403437
"140",500400,504000,-1.360765396
"141",504000,507600,-2.643400681
"142",507600,511200,-3.725316511
"143",511200,514800,-4.533022859
"144",514800,518400,-5.011729881
"145",518400,522000,-5.129076945
"146",522000,525600,-4.877332576
"147",525600,529200,-4.273915798
"148",529200,532800,-3.360203687
"149",532800,536400,-2.198706799
"150",536400,540000,-0.868805242
"151",540000,543600,0.538663723
"152",543600,547200,1.927597571
"153",547200,550800,3.203177811
"154",550800,554400,4.27833039
"155",554400,558000,5.079657032
"156",558000,561600,5.552433508
"157",561600,565200,5.664334458
"158",565200,568800,5.407631259
"159",568800,572400,4.799713491
"160",572400,576000,3.881898833
"161",576000,579600,2.716612833
"162",579600,583200,1.383131039
"163",583200,586800,-0.027826098
"164",586800,590400,-1.420277033
"165",590400,594000,-2.699520151
"166",594000,597600,-3.778586269
"167",597600,601200,-4.58416297
"168",601200,604800,-5.061587234
"169",604800,608400,-5.178566368
"170",608400,612000,-4.927373952
"171",612000,615600,-4.325371494
"172",615600,619200,-3.413820567
"173",619200,622800,-2.255066702
"174",622800,626400,-0.92828722
"175",626400,630000,0.475906969
"176",630000,633600,1.861647606
"177",633600,637200,3.13434236
"178",637200,640800,4.207119936
"179",640800,644400,5.006747886
"180",644400,648000,5.478620004
"181",648000,651600,5.590473655
"182",651600,655200,5.334583996
"183",655200,658800,4.728285846
"184",658800,662400,3.812787977
"185",662400,666000,2.650360901
"186",666000,669600,1.320090078
"187",669600,673200,-0.087515844
"188",673200,676800,-1.476694182
"189",676800,680400,-2.752954272
"190",680400,684000,-3.829515708
"191",684000,687600,-4.633220106
"192",687600,691200,-5.109513662
"193",691200,694800,-5.226161187
"194",694800,698400,-4.975438767
"195",698400,702000,-4.374655911
"196",702000,705600,-3.464971887
"197",705600,709200,-2.308587187
"198",709200,712800,-0.984501763
"199",712800,716400,0.416870715
"200",716400,720000,1.799865431
"201",720000,723600,3.070085778
"202",723600,727200,4.140835245
"203",727200,730800,4.939023609
"204",730800,734400,5.410145063
"205",734400,738000,5.521989256
"206",738000,741600,5.266832572
"207",741600,745200,4.661960596
"208",745200,748800,3.748486403
"209",748800,752400,2.588545481
"210",752400,756000,1.261058647
"211",756000,759600,-0.143648115
"212",759600,763200,-1.530000127
"213",763200,766800,-2.80368721
"214",766800,770400,-3.878089737
"215",770400,774000,-4.680179731
"216",774000,777600,-5.155494962
"217",777600,781200,-5.271847297
"218",781200,784800,-5.02151278
"219",784800,788400,-4.421754446
"220",788400,792000,-3.513642487
"221",792000,795600,-2.359252394
"222",795600,799200,-1.037432214
"223",799200,802800,0.361572456
"224",802800,806400,1.742269355
"225",806400,810000,3.010427104
"226",810000,813600,4.079495959
"227",813600,817200,4.87650427
"228",817200,820800,5.347028977
"229",820800,824400,5.458901552
"230",824400,828000,5.204397064
"231",828000,831600,4.600757393
"232",831600,835200,3.689013165
"233",835200,838800,2.531184892
"234",838800,842400,1.206054238
"235",842400,846000,-0.196206277
"236",846000,849600,-1.580179072
"237",849600,853200,-2.851703931
"238",853200,856800,-3.924293963
"239",856800,860400,-4.725027929
"240",860400,864000,-5.19951751
"241",864000,867600,-5.315611162
"242",867600,871200,-5.065582337
"243",871200,874800,-4.466653141
"244",874800,878400,-3.559817948
"245",878400,882000,-2.407047311
"246",882000,885600,-1.087062887
"247",885600,889200,0.310028577
"248",889200,892800,1.688876442
"249",892800,896400,2.955384019
"250",896400,9e+05,4.023120253
"251",9e+05,903600,4.819208394
"252",903600,907200,5.289290448
"253",907200,910800,5.40122924
"254",910800,914400,5.147295973
"255",914400,918000,4.544694374
"256",918000,921600,3.634385885
"257",921600,925200,2.478296129
"258",925200,928800,1.155093151
"259",928800,932400,-0.245174756
"260",932400,936000,-1.627216148
"261",936000,939600,-2.896990209
"262",939600,943200,-3.968114695
"263",943200,946800,-4.767751412
"264",946800,950400,-5.241568261
"265",950400,954000,-5.357439813
"266",954000,957600,-5.107634379
"267",957600,961200,-4.509338693
"268",961200,964800,-3.603484586
"269",964800,968400,-2.451957774
"270",968400,972000,-1.133379076
"271",972000,975600,0.262254352
"272",975600,979200,1.639702516
"273",979200,982800,2.904972831
"274",982800,986400,3.971724832
"275",986400,990000,4.767152959
"276",990000,993600,5.236946585
"277",993600,997200,5.348989408
"278",997200,1000800,5.09554622
"279",1000800,1004400,4.49378815
"280",1004400,1008000,3.58462075
"281",1008000,1011600,2.429894865
"282",1011600,1015200,1.108190486
"283",1015200,1018800,-0.290539041
"284",1018800,1022400,-1.671097415
"285",1022400,1026000,-2.939532623
"286",1026000,1029600,-4.009538946
"287",1029600,1033200,-4.808337518
"288",1033200,1036800,-5.281634753
"289",1036800,1040400,-5.397320854
"290",1040400,1044000,-5.147656447
"291",1044000,1047600,-4.549798452
"292",1047600,1051200,-3.644629461
"293",1051200,1054800,-2.493970476
"294",1054800,1058400,-1.176367057
"295",1058400,1062000,0.218263938
"296",1062000,1065600,1.594762148
"297",1065600,1069200,2.859208479
"298",1069200,1072800,3.925324928
"299",1072800,1076400,4.72035339
"300",1076400,1080000,5.190012898
"301",1080000,1083600,5.302197537
"302",1083600,1087200,5.049163137
"303",1087200,1090800,4.448053807
"304",1090800,1094400,3.539732508
"305",1094400,1098000,2.385995443
"306",1098000,1101600,1.065360141
"307",1101600,1105200,-0.33228569
"308",1105200,1108800,-1.711809872
"309",1108800,1112400,-2.979318567
"310",1112400,1116000,-4.048554443
"311",1116000,1119600,-4.846774222
"312",1119600,1123200,-5.319705116
"313",1123200,1126800,-5.43524247
"314",1126800,1130400,-5.18563668
"315",1130400,1134000,-4.588020431
"316",1134000,1137600,-3.683240381
"317",1137600,1141200,-2.533072967
"318",1141200,1144800,-1.216014091
"319",1144800,1148400,0.178070369
"320",1148400,1152000,1.554068653
"321",1152000,1155600,2.818104524
"322",1155600,1159200,3.883934288
"323",1159200,1162800,4.678823556
"324",1162800,1166400,5.148503295
"325",1166400,1170000,5.260867491
"326",1170000,1173600,5.008160471
"327",1173600,1177200,4.407504897
"328",1177200,1180800,3.49973446
"329",1180800,1184400,2.34661087
"330",1184400,1188000,1.026614809
"331",1188000,1191600,-0.370402333
"332",1191600,1195200,-1.749341455
"333",1195200,1198800,-3.016336252
"334",1198800,1202400,-4.085149625
"335",1202400,1206000,-4.883050133
"336",1206000,1209600,-5.355768067
"337",1209600,1213200,-5.471193422
"338",1213200,1216800,-5.221563824
"339",1216800,1220400,-4.623993301
"340",1220400,1224000,-3.719305906
"341",1224000,1227600,-2.569253661
"342",1227600,1231200,-1.25230843
"343",1231200,1234800,0.141685556
"344",1234800,1238400,1.517634091
"345",1238400,1242000,2.781673146
"346",1242000,1245600,3.847565178
"347",1245600,1249200,4.642575761
"348",1249200,1252800,5.112430077
"349",1252800,1256400,5.225011517
"350",1256400,1260000,4.972550371
"351",1260000,1263600,4.372153435
"352",1263600,1267200,3.464638457
"353",1267200,1270800,2.311752818
"354",1270800,1274400,0.991965969
"355",1274400,1278000,-0.404877675
"356",1278000,1281600,-1.783681042
"357",1281600,1285200,-3.050574708
"358",1285200,1288800,-4.119313646
"359",1288800,1292400,-4.917154504
"360",1292400,1296000,-5.38981292
"361",1296000,1299600,-5.505163057
"362",1299600,1303200,-5.255427233
"363",1303200,1306800,-4.657706405
"364",1306800,1310400,-3.752815347
"365",1310400,1314000,-2.602501837
"366",1314000,1317600,-1.285239319
"367",1317600,1321200,0.109120281
"368",1321200,1324800,1.485469258
"369",1324800,1328400,2.74992514
"370",1328400,1332000,3.816228374
"371",1332000,1335600,4.611620748
"372",1335600,1339200,5.081803932
"373",1339200,1342800,5.194640242
"374",1342800,1346400,4.942343389
"375",1346400,1350000,4.342009897
"376",1350000,1353600,3.4344549
"377",1353600,1357200,2.281431615
"378",1357200,1360800,0.96142389
"379",1360800,1364400,-0.4357015
"380",1364400,1368000,-1.814818457
"381",1368000,1371600,-3.08202379
"382",1371600,1375200,-4.151036384
"383",1375200,1378800,-4.949077226
"384",1378800,1382400,-5.421829587
"385",1382400,1386000,-5.537141311
"386",1386000,1389600,-5.287216872
"387",1389600,1393200,-4.689149752
"388",1393200,1396800,-3.783758777
"389",1396800,1400400,-2.632807642
"390",1400400,1404000,-1.314797001
"391",1404000,1407600,0.080384193
"392",1407600,1411200,1.457583685
"393",1411200,1414800,2.722869913
"394",1414800,1418400,3.789933163
"395",1418400,1422000,4.585967689
"396",1422000,1425600,5.056633936
"397",1425600,1429200,5.169762663
"398",1429200,1432800,4.917548476
"399",1432800,1436400,4.317083214
"400",1436400,1440000,3.409192733
"401",1440000,1443600,2.255656246
"402",1443600,1447200,0.934997622
"403",1447200,1450800,-0.462864675
"404",1450800,1454400,-1.842744474
"405",1454400,1458000,-3.110674179
"406",1458000,1461600,-4.180308439
"407",1461600,1465200,-4.978808842
"408",1465200,1468800,-5.451808581
"409",1468800,1472400,-5.567118706
"410",1472400,1476000,-5.316923322
"411",1476000,1479600,-4.718314025
"412",1479600,1483200,-3.812127025
"413",1483200,1486800,-2.660162095
"414",1486800,1490400,-1.340972716
"415",1490400,1494000,0.055485807
"416",1494000,1497600,1.433985635
"417",1497600,1501200,2.700515484
"418",1501200,1504800,3.768687336
"419",1504800,1508400,4.565624185
"420",1508400,1512000,5.036927547
"421",1512000,1515600,5.150386153
"422",1515600,1519200,4.898172979
"423",1519200,1522800,4.297380774
"424",1522800,1526400,3.388859441
"425",1526400,1530000,2.23443435
"426",1530000,1533600,0.912694995
"427",1533600,1537200,-0.486359149
"428",1537200,1540800,-1.867450818
"429",1540800,1544400,-3.136517385
"430",1544400,1548000,-4.207121137
"431",1548000,1551600,-5.006340542
"432",1551600,1555200,-5.479741018
"433",1555200,1558800,-5.595086359
"434",1558800,1562400,-5.34453778
"435",1562400,1566000,-4.745190581
"436",1566000,1569600,-3.837911685
"437",1569600,1573200,-2.684557092
"438",1573200,1576800,-1.363758708
"439",1576800,1580400,0.034432502
"440",1580400,1584000,1.414682101
"441",1584000,1587600,2.682868476
"442",1587600,1591200,3.752497189
"443",1591200,1594800,4.550596265
"444",1594800,1598400,5.022690605
"445",1598400,1602000,5.136516454
"446",1602000,1605600,4.88422264
"447",1605600,1609200,4.282908414
"448",1609200,1612800,3.373461049
"449",1612800,1616400,2.217772213
"450",1616400,1620000,0.894522617
"451",1620000,1623600,-0.506177962
"452",1623600,1627200,-1.888930167
"453",1627200,1630800,-3.159545751
"454",1630800,1634400,-4.231466532
"455",1634400,1638000,-5.031664166
"456",1638000,1641600,-5.505618622
"457",1641600,1645200,-5.621035985
"458",1645200,1648800,-5.370052063
"459",1648800,1652400,-4.769771457
"460",1652400,1656000,-3.861105117
"461",1656000,1659600,-2.705985404
"462",1659600,1663200,-1.383148226
"463",1663200,1666800,0.017230516
"464",1666800,1670400,1.399678803
"465",1670400,1674000,2.669934118
"466",1674000,1677600,3.741367519
"467",1677600,1681200,4.540888381
"468",1681200,1684800,5.013927328
"469",1684800,1688400,5.128157676
"470",1688400,1692000,4.875701592
"471",1692000,1695600,4.273670423
"472",1695600,1699200,3.363002121
"473",1699200,1702800,2.205674775
"474",1702800,1706400,0.880485875
"475",1706400,1710000,-0.522315241
"476",1710000,1713600,-1.907176158
"477",1713600,1717200,-3.179752452
