"","s","e","temp"
"1",0,3600,4.893518549
"2",3600,7200,4.850008682
"3",7200,10800,4.84274265
"4",10800,14400,4.871888336
"5",14400,18000,4.935133878
"6",18000,21600,5.027848209
"7",21600,25200,5.143399346
"8",25200,28800,5.273608529
"9",28800,32400,5.409309136
"10",32400,36000,5.540972165
"11",36000,39600,5.659355617
"12",39600,43200,5.756133527
"13",43200,46800,5.824461832
"14",46800,50400,5.859442613
"15",50400,54000,5.858455243
"16",54000,57600,5.82133203
"17",57600,61200,5.75036661
"18",61200,64800,5.650154708
"19",64800,68400,5.527278327
"20",68400,72000,5.389855067
"21",72000,75600,5.246983411
"22",75600,79200,5.108121916
"23",79200,82800,4.982444622
"24",82800,86400,4.878216644
"25",86400,90000,4.802232417
"26",90000,93600,4.759354781
"27",93600,97200,4.752186171
"28",97200,100800,4.780894136
"29",100800,104400,4.843202896
"30",104400,108000,4.934551285
"31",108000,111600,5.048406147
"32",111600,115200,5.176709641
"33",115200,118800,5.310429834
"34",118800,122400,5.440176972
"35",122400,126000,5.556843361
"36",126000,129600,5.652223285
"37",129600,133200,5.719570741
"38",133200,136800,5.754057103
"39",136800,140400,5.753097665
"40",140400,144000,5.71652498
"41",144000,147600,5.646597369
"42",147600,151200,5.547842239
"43",151200,154800,5.426745049
"44",154800,158400,5.291305311
"45",158400,162000,5.150490004
"46",162000,165600,5.013621761
"47",165600,169200,4.889743551
"48",169200,172800,4.78700317
"49",172800,176400,4.712099405
"50",176400,180000,4.669827547
"51",180000,183600,4.66275506
"52",183600,187200,4.691049344
"53",187200,190800,4.752469154
"54",190800,194400,4.842520061
"55",194400,198000,4.95476316
"56",198000,201600,5.081255859
"57",201600,205200,5.213094535
"58",205200,208800,5.341022021
"59",208800,212400,5.45605845
"60",212400,216000,5.550112492
"61",216000,219600,5.616531367
"62",219600,223200,5.650552248
"63",223200,226800,5.649624451
"64",226800,230400,5.613580585
"65",230400,234000,5.544645209
"66",234000,237600,5.447280586
"67",237600,241200,5.32788022
"68",241200,244800,5.194331224
"69",244800,248400,5.055475472
"70",248400,252000,4.920506352
"71",252000,255600,4.798342262
"72",255600,259200,4.697019552
"73",259200,262800,4.62314622
"74",262800,266400,4.58145351
"75",266400,270000,4.574475818
"76",270000,273600,4.602380581
"77",273600,277200,4.662959538
"78",277200,280800,4.751781806
"79",280800,284400,4.862498134
"80",284400,288000,4.987275469
"81",288000,291600,5.117332081
"82",291600,295200,5.243536693
"83",295200,298800,5.357030747
"84",298800,302400,5.449831407
"85",302400,306000,5.515374243
"86",306000,309600,5.548958721
"87",309600,313200,5.548066262
"88",313200,316800,5.512529349
"89",316800,320400,5.44454034
"90",320400,324000,5.348499548
"91",324000,327600,5.230713137
"92",327600,331200,5.098961541
"93",331200,334800,4.96196797
"94",334800,338400,4.828803282
"95",338400,342000,4.708267838
"96",342000,345600,4.608292454
"97",345600,349200,4.535399222
"98",349200,352800,4.494258855
"99",352800,356400,4.487374605
"100",356400,360000,4.514914123
"101",360000,363600,4.574700571
"102",363600,367200,4.662363409
"103",367200,370800,4.771638407
"104",370800,374400,4.894796319
"105",374400,378000,5.023170849
"106",378000,381600,5.147749875
"107",381600,385200,5.259789598
"108",385200,388800,5.351409745
"109",388800,392400,5.416129345
"110",392400,396000,5.449306625
"111",396000,399600,5.448453192
"112",399600,403200,5.413401218
"113",403200,406800,5.346312425
"114",406800,410400,5.251528395
"115",410400,414000,5.135272591
"116",414000,417600,5.005224523
"117",417600,421200,4.869995207
"118",421200,424800,4.738539724
"119",424800,428400,4.61954697
"120",428400,432000,4.520848169
"121",432000,435600,4.448884411
"122",435600,439200,4.408269421
"123",439200,442800,4.401477229
"124",442800,446400,4.428675888
"125",446400,450000,4.487718407
"126",450000,453600,4.574291365
"127",453600,457200,4.682210905
"128",457200,460800,4.803845814
"129",460800,464400,4.93063874
"130",464400,468000,5.053689952
"131",468000,471600,5.164363816
"132",471600,475200,5.25487667
"133",475200,478800,5.318826081
"134",478800,482400,5.35162549
"135",482400,486000,5.350814757
"136",486000,489600,5.316225564
"137",489600,493200,5.249990572
"138",493200,496800,5.156395862
"139",496800,500400,5.041586863
"140",500400,504000,4.913147946
